language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Catalan Corpus	cited_context	CC100	https://doi.org/10.48550/arXiv.2403.08693 (2024)	https://doi.org/10.18653/v1/2020.acl-main.747 (2019)	The CC100 dataset is used for unsupervised cross-lingual representation learning, enabling the training of models on a large-scale multilingual corpus. It is employed to evaluate model performance across multiple languages and tasks, facilitating research into the effectiveness of cross-lingual representations. The dataset's multilingual nature supports the development of models that can generalize across different linguistic contexts.	
Catalan Corpus	citing_context	CCAligned	https://www.semanticscholar.org/paper/02665643d168f7732af3e176a71c2cde7a400392 (2022)	https://doi.org/10.18653/v1/2020.emnlp-main.480 (2019)	The CCAligned dataset is used for collecting large-scale cross-lingual web-document pairs, primarily focusing on mass data collection without active quality assessment. This dataset enables researchers to gather extensive multilingual data, facilitating studies in cross-lingual information retrieval, machine translation, and other natural language processing tasks. The lack of quality assessment in the dataset highlights its utility for exploratory research where volume is more critical than precision.	
Catalan Corpus	citing_context	CLUB 6	https://www.semanticscholar.org/paper/6c8729f8ec74b4e5847ceb8c9bb7e89eb2ed25f0 (2025)	https://doi.org/10.48550/arXiv.2407.17479 (2024)	The CLUB 6 dataset is used to evaluate BERT and RoBERTa-based models on 8 Catalan datasets, focusing on language representation and model performance in Catalan. This involves assessing how well these models understand and process the Catalan language, providing insights into their effectiveness and potential areas for improvement.	
Catalan Corpus	citing_context	Colos-sal Clean Crawled corpus	https://doi.org/10.18653/v1/2022.naacl-main.434 (2022)	https://www.semanticscholar.org/paper/6c4b76232bb72897685d19b3d264c6ee3005bc2b (2019)	The Colos-sal Clean Crawled corpus is used to pretrain mT5, a multilingual variant of the T5 model, enhancing its transfer learning capabilities across multiple languages. This dataset enables researchers to improve the model's performance in cross-lingual tasks by providing a large, clean text corpus. It is particularly valuable for developing models that can generalize well across different linguistic contexts.	
Catalan Corpus	citing_context	COPA-ca 15	https://www.semanticscholar.org/paper/ac8e1888733971a50da48f32840fa4e5180a9b1e (2024)	https://doi.org/10.18653/v1/2020.emnlp-main.185 (2020)	The COPA-ca 15 dataset is used to assess causal common-sense reasoning in Catalan by evaluating the ability to choose plausible alternatives in causal scenarios. It is a translated version of the original COPA dataset, specifically designed to test reasoning skills in the Catalan language. This dataset enables researchers to evaluate and compare models' performance in understanding and reasoning about cause and effect in a linguistically diverse context.	
Catalan Corpus	citing_context	Corts Valencianes Speech Corpus	https://www.semanticscholar.org/paper/ccd806246b66310dfae899308688c2042808e5c7 (2025)		The Corts Valencianes Speech Corpus is used for training Catalan TTS systems, enhancing ASR models for Spanish and Catalan, and analyzing linguistic and phonetic aspects of spoken Catalan. It provides a multi-speaker corpus with diverse accents and dialects, enabling researchers to improve synthesis quality and study linguistic patterns in broadcast content.	
Catalan Corpus	citing_context	DACSA corpus	https://doi.org/10.18653/v1/2022.naacl-main.434 (2022)	https://doi.org/10.18653/v1/2020.acl-main.703 (2019)	The DACSA corpus is used to evaluate the performance of summarization systems, including unsupervised, extractive, and abstractive models, by assessing summarization quality and upper bounds. It is also utilized to pretrain the mBART model on a multilingual corpus, enhancing cross-lingual performance, particularly in Catalan. This dataset enables researchers to benchmark summarization techniques and improve multilingual natural language processing models.	
Catalan Corpus	citing_context	EMMediaTopic	https://doi.org/10.1109/ACCESS.2025.3544814 (2024)		The EMMediaTopic dataset is used as a freely available resource within the CLARIN infrastructure, focusing on media topics in the Catalan language. It supports research by providing accessible data for studies related to media content and linguistic analysis in Catalan. This dataset enables researchers to explore specific media topics, enhancing understanding and analysis within the Catalan linguistic context.	
Catalan Corpus	citing_context	E S BBQ 1	https://www.semanticscholar.org/paper/a671f540fe1a2be6cfa3b4e0559c5d4d659445dc (2025)	https://doi.org/10.18653/v1/2022.findings-acl.165 (2021)	The E S BBQ 1 dataset is used to assess social biases in QA tasks, specifically adapted to the Spanish and Catalan languages and cultures of Spain. It focuses on developing culturally relevant bias benchmarks. The dataset enables researchers to evaluate and mitigate biases in natural language processing models, ensuring they are culturally sensitive and fair.	
Catalan Corpus	citing_context	Europarl corpus	https://www.semanticscholar.org/paper/8c42451d7e3410b51c02fd09c9899bf87a523d29 (2024)	https://www.semanticscholar.org/paper/278f7495e50db8b3d01112ba36223e8976f73b60 (2019)	The Europarl corpus is used for linguistic annotation, specifically to add tags to sentences containing first-person singular references. This enrichment enhances the corpus, supporting research in natural language processing and linguistic analysis. The dataset's structured tagging facilitates detailed examination of personal reference usage in text.	
Catalan Corpus	cited_context | citing_context	FESTCAT	https://www.semanticscholar.org/paper/ccd806246b66310dfae899308688c2042808e5c7 (2025), https://www.semanticscholar.org/paper/7b07ef9ba4419314fc3a569d9b63361ed87932f7 (2020), https://doi.org/10.21437/iberspeech.2024-42 (2024), https://www.semanticscholar.org/paper/6c5deaec0e93ecb43a62c5cba16f7401132ee5b1 (2009)	https://www.semanticscholar.org/paper/6c5deaec0e93ecb43a62c5cba16f7401132ee5b1 (2009), https://www.semanticscholar.org/paper/7b07ef9ba4419314fc3a569d9b63361ed87932f7 (2020)	The Festcat dataset is primarily used for training and evaluating Text-to-Speech (TTS) systems in the Catalan language. It provides a multi-speaker corpus with diverse accents and dialects, particularly focusing on the Central variant. Researchers use this dataset to enhance the quality and naturalness of synthesized speech, employing Hidden Markov Model (HMM)-based approaches. The dataset's multi-accent feature is crucial for improving the robustness and versatility of TTS models.; The FESTCAT dataset is used to produce synthetic Catalan speech data, specifically for training two synthetic voices (one male and one female) for the Festival Speech Synthesis System. The primary focus is on achieving high-quality synthetic speech comparable to the best available English voices. This dataset enables researchers to enhance the naturalness and intelligibility of Catalan speech synthesis.	Festcat
Catalan Corpus	citing_context	Flores-200	https://www.semanticscholar.org/paper/8c42451d7e3410b51c02fd09c9899bf87a523d29 (2024)	https://doi.org/10.48550/arXiv.2207.04672 (2022)	The Flores-200 dataset is used to evaluate translation quality, particularly in the context of human-centered machine translation. It focuses on both spoken language and low-resource languages, enabling researchers to assess the performance and accuracy of translation models in these specific contexts. This dataset facilitates the development and refinement of translation systems by providing a benchmark for evaluating their effectiveness in handling diverse linguistic challenges.	
